,0
0,RASGRP3
1,EMCN
2,LIMS1
3,FLI1
4,CXorf36
5,ARHGEF7
6,ZNF366
7,NBR1
8,TLR4
9,TIE1
10,STAB1
11,RHOJ
12,CYTL1
13,VWF
14,GRAPL
15,NDST1
16,PRKCH
17,CLDN5
18,ARHGEF1
19,GMFG
20,BTNL9
21,CREM
22,RELT
23,EIF1AD
24,ADGRF5
25,RAP1GAP2
26,RAMP2
27,USHBP1
28,MYCT1
29,TPRXL
30,FCER1G
31,PLEC
32,HID1-AS1
33,NOTCH4
34,SOX13
35,CLEC1A
36,PCAT19
37,PECAM1
38,CSF1
39,SDE2
40,RAB33A
41,FLT1
42,RND1
43,ICAM1
44,HNRNPUL1
45,NAV3
46,ARHGEF28
47,PRKAR1B
48,SEMA6B
49,PRR9
50,HES5
51,FAM198B
52,BTBD3
53,MID1
54,ARHGAP25
55,TAL1
56,EPAS1
57,UNCX
58,PHLPP1
59,HDAC4
60,RNF2
61,RREB1
62,PIEZO1
63,SOX7
64,SNRK
65,H3F3A
66,RFX3
67,HOXD1
68,MLLT6
69,TBC1D4
70,SPTBN1
71,CALB2
72,PLEKHO2
73,MSX1
74,HOXC-AS1
75,CXCR4
76,MECOM
77,SOCS3
78,RGCC
79,KLF3
80,PIM3
81,MADCAM1
82,ZHX2
83,GATA2
84,RGS16
85,HBEGF
86,EMILIN2
87,CAV1
88,ARRDC2
89,MAFF
90,SRGAP2B
91,SLC1A5
92,EPN1
93,TAF1C
94,TRAF7
95,SBNO2
96,C17orf62
97,TCTEX1D1
98,RAPGEF3
99,FCHO2
100,MAPK11
101,NPR1
102,MOB3A
103,SH3BP5
104,ERG
105,PDE4B
106,ITPRIP
107,CD300LG
108,GIMAP4
109,KIAA0040
110,CDKL5
111,MGEA5
112,TAGLN2
113,RBM4
114,ESM1
115,EGLN1
116,C10orf11
117,ST8SIA4
118,ICAM2
119,HES1
120,BMP6
121,GPR146
122,LRRTM2
123,BCL6B
124,HOXB6
125,AGFG2
126,NFKBIE
127,KDR
128,TSC22D3
129,ARAP3
130,PLXND1
131,GPIHBP1
132,DYSF
133,DOK4
134,KMT2D
135,INHBA
136,CD34
137,HRH1
138,C10orf54
139,AKAP2
140,AGRN
141,BCL3
142,PTPRM
143,ABLIM1
144,MBNL3
145,SOX17
146,KCNA5
147,C1orf204
148,NCKIPSD
149,ADGRA2
150,SH2D3C
151,THSD1
152,SHE
153,TECPR1
154,APLNR
155,GPSM1
156,CAMK2G
157,GABPB1
158,CSRNP1
159,GRAMD1A
160,MCTP1
161,CHORDC1
162,PLPPR5
163,TMEM233
164,LAMA4
165,ZNF75D
166,PON3
167,CCNT1
168,AQP1
169,RALB
170,OSBPL10
171,SDPR
172,YES1
173,C4orf32
174,LHFPL2
175,ITPR1
176,TCP11L2
177,PLCL2
178,KLHL3
179,FCGBP
180,TACC1
181,CLEC14A
182,AMZ1
183,HSPG2
184,OIT3
185,KCNK5
186,CPSF7
187,GPR107
188,ABHD17A
189,UBTD1
190,DPP3
191,YPEL5
192,TMEM57
193,B3GNT2
194,ZNF281
195,CD93
196,TRA2B
197,ST6GAL1
198,MCU
199,DENND3
200,CPNE5
201,SEC14L1
202,AATF
203,KIAA1462
204,SLC32A1
205,RAPH1
206,OTX2
207,LCP2
208,NUAK2
209,KCNJ2
210,FBXW2
211,PFDN1
212,TM4SF18
213,PREX2
214,RIMKLB
215,TRAF3IP2
216,LDB2
